                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3321,                 1.0999,                 2.3481,                0.38404,                0.33854,                0.23373,                0.07536,                  2.381,                  2.315,                 4.3339,               0.001109,               0.001109,               0.001109
                     47,                 1.3147,                 1.0707,                 2.2854,                0.39536,                0.36979,                0.27316,                0.09821,                 2.4076,                 2.2927,                 4.4564,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3189,                 1.0429,                  2.344,                0.38088,                 0.3125,                0.23899,                0.08308,                 2.3856,                 2.3334,                 4.2842,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2805,                 1.0369,                  2.221,                0.39767,                0.39583,                0.26622,                0.08727,                 2.3734,                 2.3591,                 4.4276,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2482,                0.99962,                 2.2603,                0.39243,                0.38351,                  0.272,                0.09961,                 2.3683,                 2.1564,                 4.3155,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2792,                 1.0058,                 2.2382,                0.31481,                0.38542,                 0.2523,                0.09681,                 2.3483,                 2.2919,                 4.3469,                0.00101,                0.00101,                0.00101
                     52,                 1.2942,                 1.0246,                 2.2404,                0.34596,                0.36979,                0.24146,                0.08951,                 2.4759,                 2.4843,                 4.6037,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2233,                0.97355,                 2.2054,                0.37543,                0.36979,                 0.2541,                 0.0897,                 2.3502,                 2.3972,                 4.2047,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2413,                0.99324,                 2.2458,                0.44055,                0.34896,                0.25925,                0.09334,                 2.4581,                 2.3424,                 4.5987,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2206,                0.95633,                 2.2079,                0.44703,                0.39583,                0.33296,                0.12276,                 2.3198,                 2.1169,                 4.3979,              0.0009308,              0.0009308,              0.0009308
